pdb,antigen_name,antigen_species,heavy_species,light_species,affinity_nM,affinity_method,delta_g_kcal_mol,resolution,method,pmid,temperature
5nmv,tissue factor pathway inhibitor,homo sapiens,mus,mus,1e-09,SPR,-12.27819680469229,1.65,X-RAY DIFFRACTION,TBD,
5f3b,growth/differentiation factor 8,homo sapiens,mus musculus,mus musculus,3e-12,SPR,-15.720019221239749,1.76,X-RAY DIFFRACTION,TBD,
5f3b,growth/differentiation factor 8,homo sapiens,mus musculus,mus musculus,3e-12,SPR,-15.720019221239749,1.76,X-RAY DIFFRACTION,TBD,
1vfb,hen egg white lysozyme,gallus gallus,mus musculus,mus musculus,3.70e-09,ITC,-11.47,1.8,X-RAY DIFFRACTION,8302837,24
1nby,lysozyme c,gallus gallus,mus musculus,mus musculus,9.09e-05,SPR,,1.8,X-RAY DIFFRACTION,12515535,25
3a6c,lysozyme c,gallus gallus,mus musculus,mus musculus,7.14e-09,ITC,-11.28,1.8,X-RAY DIFFRACTION,20038580,30
2ypv,lipoprotein,neisseria meningitidis mc58,mus musculus,mus musculus,3e-11,SPR,-14.355775131829494,1.8,X-RAY DIFFRACTION,TBD,
4rgo,enterotoxin type b,staphylococcus aureus,mus musculus,mus musculus,7.900000000000001e-09,BLI,-11.053614350904786,1.8,X-RAY DIFFRACTION,TBD,
1wej,cytochrome c,equus caballus,mus musculus,mus musculus,1.58e-08,ITC,-10.63,1.8,X-RAY DIFFRACTION,7539913,25
3a67,lysozyme c,gallus gallus,mus musculus,mus musculus,5.62e-09,ITC,-11.44,1.8,X-RAY DIFFRACTION,20038580,30
3a6b,lysozyme c,gallus gallus,mus musculus,mus musculus,1.08e-07,ITC,-9.63,1.8,X-RAY DIFFRACTION,20038580,30
5hdq,abc transporter substrate-binding protein,staphylococcus aureus,mus musculus,mus musculus,1.2e-09,SPR,-12.170174257779676,1.83,X-RAY DIFFRACTION,TBD,
4ala,envelope protein,dengue virus 3,mus musculus,mus musculus,4.7e-10,ELISA,-12.725535363908449,1.84,X-RAY DIFFRACTION,TBD,
1nbz,lysozyme c,gallus gallus,mus musculus,mus musculus,1.06e-06,SPR,,1.85,X-RAY DIFFRACTION,12515535,25
3rkd,capsid protein,hepatitis e virus,mus musculus,mus musculus,5.89e-09,SPR,-11.22,1.9,X-RAY DIFFRACTION,21642534,
4h88,major prion protein,mus musculus,mus musculus,mus musculus,2.9e-09,SPR,-11.647373069103503,1.9,X-RAY DIFFRACTION,TBD,
3qwo,motavizumab epitope scaffold,staphylococcus aureus,mus musculus,mus musculus,8.70e-08,SPR,-9.63,1.9,X-RAY DIFFRACTION,21549714,
6ddr,mhc class i polypeptide-related sequence a,homo sapiens,mus musculus,mus musculus,9.4e-10,ITC,-12.314856971588666,1.9,X-RAY DIFFRACTION,TBD,
5vpl,der f 1 variant,dermatophagoides farinae,mus musculus,mus musculus,1.7e-08,ITC,-10.599564136380756,1.9,X-RAY DIFFRACTION,TBD,
3qwo,motavizumab epitope scaffold,staphylococcus aureus,mus musculus,mus musculus,8.70e-08,SPR,-9.63,1.9,X-RAY DIFFRACTION,21549714,
3rkd,capsid protein,hepatitis e virus,mus musculus,mus musculus,5.89e-09,SPR,-11.22,1.9,X-RAY DIFFRACTION,21642534,
5vpg,der p 1 allergen,dermatophagoides pteronyssinus,mus musculus,mus musculus,1.9e-08,ITC,-10.533664762780313,1.95,X-RAY DIFFRACTION,TBD,
1dzb,turkey egg-white lysozyme c,meleagris gallopavo,mus musculus,,5.20e-07,Other,-8.57,2.0,X-RAY DIFFRACTION,10926506,25
3l5w,interleukin-13,homo sapiens,"mus musculus, homo sapiens","mus musculus, homo sapiens",5.40e-11,SPR,-14,2.0,X-RAY DIFFRACTION,20226193,25
3uyp,envelope protein,dengue virus 4,mus musculus,,4.1e-06,ELISA,-7.349477781845606,2.0,X-RAY DIFFRACTION,TBD,
1dqj,lysozyme,gallus gallus,mus musculus,mus musculus,2.86e-09,SPR,-11.45,2.0,X-RAY DIFFRACTION,10828942,25
1p2c,lysozyme c,gallus gallus,mus musculus,mus musculus,9.80e-11,SPR,-13.65,2.0,X-RAY DIFFRACTION,14988501,25
1p2c,lysozyme c,gallus gallus,mus musculus,mus musculus,9.80e-11,SPR,-13.65,2.0,X-RAY DIFFRACTION,14988501,25
6flc,domain iii of dengue virus 2,dengue virus 2,mus musculus,mus musculus,1.767e-07,SPR,-9.212417624520992,2.0,X-RAY DIFFRACTION,TBD,
3l5w,interleukin-13,homo sapiens,"mus musculus, homo sapiens","mus musculus, homo sapiens",5.40e-11,SPR,-14,2.0,X-RAY DIFFRACTION,20226193,25
1dzb,turkey egg-white lysozyme c,meleagris gallopavo,mus musculus,,5.20e-07,Other,-8.57,2.0,X-RAY DIFFRACTION,10926506,25
