pdb,dG_pred_kcal_mol,dG_pred_electrostatic,dG_pred_apolar,dG_pred_entropy
3a6c,,
5sy8,-9.411,
5myo,-9.257,
3uzq,-9.553,
4hpy,-9.234,
4cmh,-10.264,
4n8c,-9.158,
6ddm,-10.073,
4al8,-9.226,
1vfb,,
2vxt,-9.957,
5nmv,,
5myk,-8.633,
1dqj,,
5tkk,-8.496,
4qyo,-9.285,
4r3s,-10.032,
5myx,-9.265,
4rgo,,
3ifl,-8.786,
5f3b,,
4ala,,
4qxt,-10.212,
5cin,-8.783,
3wih,-10.746,
5i8c,-9.401,
4hs6,-9.036,
5e2w,-8.039,
5kvf,-9.759,
5kve,-9.258,
5hdq,,
4qy8,-10.436,
4h88,,
3uyr,-7.802,
6ddr,,
3g5y,-9.045,
5kvd,-10.538,
5yy4,-8.307,
5a2k,-7.757,
5e2v,-8.118,
5n88,-9.136,
5a2j,-7.760,
3l5w,,
3ggw,-7.456,
3pp4,-9.004,
1wej,,
3a67,,
3a6b,,
3rkd,,
5vpl,,
