pdb,format,antigen,kd_nM,method,source,resolution,temperature_K,ph,species,pubmed_id
1e41,Fab,PD-1,157.447,BLI,SAbDab,2.8,310.15,7.0,mouse,
2d39,VHH,GITR,0.144,SPR,SAAINT-DB,2.8,310.15,7.3,human,
5a30,VHH,IL-17A,17.622,ITC,ANDD,1.9,298.15,7.1,mouse,
6j43,Fab,RSV F,0.304,BLI,SAbDab,3.3,298.15,7.0,mouse,
6j34,VHH,HER2 ECD,1402.889,SPR,SAAINT-DB,2.9,293.15,7.4,human,
8f30,scFv,IL-6,7.955,SPR,ANDD,2.8,310.15,7.3,llama,
9d30,scFv,CTLA-4,149.586,ITC,SAAINT-DB,2.8,293.15,7.1,human,
7e18,Fab,IL-4Ra,1059.812,BLI,ANDD,2.0,298.15,7.2,llama,
5c41,VHH,CD38,19.691,BLI,ANDD,2.9,298.15,7.4,mouse,
3i73,Fab,SARS-CoV-2 RBD,6.456,SPR,SAAINT-DB,2.7,310.15,7.2,human,
8i42,VHH,HIV-1 gp120,8.391,BLI,SAbDab,2.8,310.15,7.4,llama,
5g30,scFv,HIV-1 gp120,5.022,BLI,ANDD,3.3,293.15,7.3,human,
5i87,Fab,PD-1,2252.127,ITC,SAAINT-DB,2.6,310.15,7.5,llama,
1b56,scFv,VEGF-A,4.176,SPR,SAAINT-DB,3.1,293.15,7.0,mouse,
9c26,VHH,CD19,1202.586,BLI,SAAINT-DB,2.1,310.15,7.2,human,
4e61,VHH,TIGIT,4411.309,ITC,Literature,3.1,298.15,7.1,human,
1j80,Fab,IL-4Ra,0.209,SPR,SAbDab,1.8,310.15,7.0,human,
6b75,Fab,TNF-alpha,3365.891,BLI,Literature,2.0,293.15,7.4,llama,
4h62,Fab,Influenza HA,76.043,SPR,Literature,2.3,298.15,7.2,llama,
2a61,VHH,EGFR,0.187,SPR,SAAINT-DB,2.0,310.15,7.2,mouse,
8d19,scFv,CD38,0.827,SPR,SAbDab,2.7,310.15,7.4,human,
4c62,scFv,CD19,4283.857,SPR,Literature,3.1,293.15,7.2,mouse,
8e64,VHH,CD38,2.118,BLI,Literature,1.9,298.15,7.1,human,
9a50,Fab,SARS-CoV-2 RBD,78.687,BLI,Literature,2.5,310.15,7.1,llama,
3b86,Fab,LAG-3,0.252,SPR,Literature,1.9,310.15,7.1,llama,
2g94,VHH,IL-4Ra,0.158,BLI,ANDD,3.2,293.15,7.3,mouse,
7c95,VHH,CD20,1.561,ITC,ANDD,3.2,293.15,7.0,llama,
2b78,Fab,BCMA,9823.635,ITC,SAAINT-DB,3.2,293.15,7.4,mouse,
8i48,VHH,TIGIT,2.66,BLI,SAbDab,2.8,310.15,7.1,llama,
3e24,Fab,CD38,0.33,SPR,ANDD,2.2,293.15,7.4,human,
5i72,scFv,SARS-CoV-2 RBD,273.833,SPR,Literature,3.0,293.15,7.0,human,
5c66,VHH,IL-17A,153.309,BLI,SAbDab,1.9,310.15,7.5,llama,
6j80,Fab,IL-17A,0.151,SPR,SAbDab,2.2,293.15,7.4,human,
2f81,scFv,GITR,257.237,BLI,SAAINT-DB,3.2,293.15,7.4,human,
1c52,scFv,LAG-3,2553.178,BLI,SAAINT-DB,2.1,310.15,7.1,human,
4d68,scFv,CD20,1963.208,SPR,SAAINT-DB,1.7,293.15,7.2,mouse,
5f92,VHH,CTLA-4,2097.803,BLI,ANDD,3.2,293.15,7.4,mouse,
5a23,VHH,IL-17A,0.781,ITC,ANDD,2.4,310.15,7.1,llama,
1g10,VHH,CD38,0.892,BLI,SAAINT-DB,2.3,293.15,7.5,mouse,
2e74,scFv,LAG-3,130.55,ITC,ANDD,2.3,298.15,7.3,human,
7c88,VHH,CD20,12.654,ITC,SAbDab,2.2,293.15,7.2,llama,
6h66,scFv,LAG-3,107.971,SPR,Literature,3.0,310.15,7.1,human,
6b40,VHH,CD20,2.624,SPR,SAAINT-DB,1.9,293.15,7.1,mouse,
2h63,VHH,IL-4Ra,113.86,SPR,Literature,2.5,293.15,7.1,llama,
2g38,Fab,BCMA,0.107,ITC,SAbDab,2.6,293.15,7.2,mouse,
9j50,scFv,GITR,217.715,BLI,Literature,3.0,310.15,7.2,human,
8h43,Fab,TIGIT,522.73,ITC,Literature,2.7,298.15,7.2,llama,
5f50,VHH,HER2 ECD,2.683,SPR,SAAINT-DB,2.1,310.15,7.1,human,
