pdb,format,antigen,kd_nM,method,source,resolution,temperature_K,ph,species,pubmed_id,kd_method,dG_exp_kcal_mol,dG_pred_kcal_mol,dG_pred_electrostatic,dG_pred_apolar,dG_pred_entropy,delta_kcal_mol
10bt,Fab,E. coli TGT covalent intermediate with 1 tRNA,2.06,X-RAY DIFFRACTION,SAbDab,1.99,298.15,7.0,human,,BLI,-11.84,N/A,N/A,N/A,N/A,N/A
10gh,Fab,proto-oncogene tyrosine-protein kinase ros,116,ELECTRON MICROSCOPY,SAbDab,3.06,298.15,7.0,human,,BLI,-9.45,N/A,N/A,N/A,N/A,N/A
11hk,Fv,e-fics-v3,0.2,ELECTRON MICROSCOPY,SAbDab,2.7,298.15,7.0,human,,BLI,-13.23,-9.772,,,,-3.458
11hw,Fv,e-fics-v3,12,ELECTRON MICROSCOPY,SAbDab,2.8,298.15,7.0,human,,BLI,-10.8,-10.331,,,,-0.469
11ol,Fab/SD-H,sars-cov-2 omicron ba.4 spike protein,1,ELECTRON MICROSCOPY,SAbDab,3.2,298.15,7.0,human,,BLI,-12.28,N/A,N/A,N/A,N/A,N/A
11oo,Fab/SD-H,sars-cov-2 omicron ba.4 spike protein,100,ELECTRON MICROSCOPY,SAbDab,3.4,298.15,7.0,human,,BLI,-9.54,N/A,N/A,N/A,N/A,N/A
11oq,Fab/SD-H,sars-cov-2 omicron ba.1 spike protein,50,ELECTRON MICROSCOPY,SAbDab,3.2,298.15,7.0,human,,BLI,-9.45,N/A,N/A,N/A,N/A,N/A
13fj,Fab,transforming growth factor beta-1,0.0146,X-RAY DIFFRACTION,SAbDab,2.75,298.15,7.0,human,,SPR,-14.78,-10.045,,,,-4.735
10fd,Fv,"glutamate receptor ionotropic, nmda 2b",31,ELECTRON MICROSCOPY,SAbDab,3.09,298.15,7.0,human,,SPR,-10.24,N/A,N/A,N/A,N/A,N/A
10fj,Fab,FcgRIIa in complex with IV.3 Fab,0.787,ELECTRON MICROSCOPY,SAbDab,3.5,298.15,7.0,human,,SPR,-12.42,-9.290,,,,-3.13
11zw,Fab/SD-H,pdcov il121_2014 receptor binding domain,0.155,ELECTRON MICROSCOPY,SAbDab,3.8,298.15,7.0,human,,BLI,-13.4,-9.712,,,,-3.688
22gk,Fv,beta-arrestin-1,1.6,ELECTRON MICROSCOPY,SAbDab,2.84,298.15,7.0,human,,Radioligand binding assay,-12,-9.410,,,,-2.59
22gm,Fv,beta-arrestin-1,1.0,ELECTRON MICROSCOPY,SAbDab,2.7,298.15,7.0,human,,Radioligand binding assay,-12.3,-8.433,,,,-3.867
24xy,Fv/SD-H,guanine nucleotide-binding protein g(i)/g(s)/g(o) subunit ga,17.2,ELECTRON MICROSCOPY,SAbDab,3.0,298.15,7.0,human,,Radioligand binding assay,-10.6,-7.036,,,,-3.564
24xz,Fv,soluble cytochrome b562,50.9,ELECTRON MICROSCOPY,SAbDab,2.93,298.15,7.0,human,,Radioligand binding assay,-9.94,-7.551,,,,-2.389
29tj,Fv,envelope glycoprotein gp4,1.89,X-RAY DIFFRACTION,SAbDab,2.3,298.15,7.0,human,,Real-time SPR,-11.9,-7.825,,,,-4.075
35ui,Fab,tissue factor pathway inhibitor,5.46,X-RAY DIFFRACTION,SAbDab,1.75,298.15,7.0,human,,SPR,-11.27,-9.561,,,,-1.709
35uh,Fab,tissue factor pathway inhibitor,9.89,X-RAY DIFFRACTION,SAbDab,3.11,298.15,7.0,human,,SPR,-10.92,-9.718,,,,-1.202
35uj,Fab,tissue factor pathway inhibitor,1.25,X-RAY DIFFRACTION,SAbDab,2.9,298.15,7.0,human,,SPR,-12.15,-9.638,,,,-2.512
9tvt,Fab,unknown,0.242,X-RAY DIFFRACTION,SAbDab,2.85,298.15,7.0,human,,SPR,-13.12,-10.288,,,,-2.832
25rg,Fab,unknown,8.76,ELECTRON MICROSCOPY,SAbDab,2.5,298.15,7.0,human,,SPR,-10.99,-9.539,,,,-1.451
